post,url,person_name,post_content,hashtag1,hashtag2,hashtag3,hashtag4,hashtag5,hashtag6,hashtag7,hashtag8,hashtag9,hashtag10,likes,time
https://www.linkedin.com/posts/rick-weinberg-0b227a22_3-common-reasons-most-responsible-for-will-activity-7080236238544277504-N8O1?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_3-common-reasons-most-responsible-for-will-activity-7080236238544277504-N8O1?trk=posts_directory,Rick Weinberg,"Inheritance laws differ quite a bit, depending on the jurisdiction. Inheritance laws within the same jurisdiction may also be applied differently, based on the specific circumstances of each different case. However, the reasons that most often lead to will and probate disputes are found to be very similar across all jurisdictions.",#fakesignature,#jurisdiction,#law,#legal,#probate,#ProbateClaims,#UnclearFamilyTies,#Will,,,,3w
https://www.linkedin.com/posts/rogersilveraceo_only-1-in-4-affluent-women-are-confident-activity-7079564329796177920-YUzX?trk=posts_directory,https://www.linkedin.com/posts/rogersilveraceo_only-1-in-4-affluent-women-are-confident-activity-7079564329796177920-YUzX?trk=posts_directory,"Roger A. Silvera,  LUTCF® FSCP ® CLTC ®",Only 1 in 4 affluent women are confident in making financial decisions on their own. Contact me for guidance on developing your financial roadmap to suit your needs now and in the future.,,,,,,,,,,,,4w
https://www.linkedin.com/posts/rick-weinberg-0b227a22_how-do-manuka-honey-and-manuka-oil-differs-activity-7080236898501197824-_9Fm?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_how-do-manuka-honey-and-manuka-oil-differs-activity-7080236898501197824-_9Fm?trk=posts_directory,Rick Weinberg,"Manuka oil is known for its skin healing and antiseptic properties. Manuka honey and Manuka oil are two natural remedies that have shown promising results in clinical trials. There are numerous benefits of manuka honey along with manuka oil which the majority of us still don't know. In this blog, we'll explore how manuka honey, and manuka oil differ?
What is manuka honey?
Manuka",#antioxidants,#antisepticproperties,#bees,#manukahoney,#manukaoil,#Maori,#minerals,#naturalremedies,#NewZealand,#skinhealing,,3w
https://www.linkedin.com/posts/rick-weinberg-0b227a22_the-roadmap-to-financial-independence-trading-activity-7079511812454449152-QWhQ?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_the-roadmap-to-financial-independence-trading-activity-7079511812454449152-QWhQ?trk=posts_directory,Rick Weinberg,"Many individuals aspire to achieve financial independence, and trading for a living is a path that has piqued the interest of countless aspiring entrepreneurs. The ability to generate income and build wealth through trading can provide individuals with a sense of freedom and control over their financial future.",#adaptation,#ContinualLearning,#education,#evaluate,#finance,#market,#monitor,#range,#realisticgoals,#riskmanagement,1,4w
https://www.linkedin.com/posts/rickbain_yes-i-like-the-embedded-energy-and-outside-activity-7079132423321501696-Wcve?trk=posts_directory,https://www.linkedin.com/posts/rickbain_yes-i-like-the-embedded-energy-and-outside-activity-7079132423321501696-Wcve?trk=posts_directory,Rick Bain,Yes I like the embedded energy and “outside the standards and guidelines” thinking. How about you ?,ow.ly/rEkc50OVuXm,,,,,,,,,,2,4w
https://www.linkedin.com/posts/rishadtobaccowala_it-is-not-where-work-takes-place-but-where-activity-7079547334610616320-gY-7?trk=posts_directory,https://www.linkedin.com/posts/rishadtobaccowala_it-is-not-where-work-takes-place-but-where-activity-7079547334610616320-gY-7?trk=posts_directory,Rishad Tobaccowala,"""It is not where work takes place but where work fits into life""

""It is now about life-work integration not about life-work balance""

There is a changed relationship between people and work driven by a) the existential crisis that was Covid which gave  people a new sense of agency over not just their personal lives but work lives  b) the completely different mindset of Gen-Z who will be a third of all employees and have not chosen to sacrifice themselves for their jobs and c) a declining population which is placing more power in the hands of employees and talent.

Heather E. McGowan 🏳️🌈🏳️⚧️ is the latest guest on What Next? a 30 minute ad free podcast which features guests who deliver actionable insights every minute. Heather who today is an author and speaker has worked in both business and academia and has been called by Tom Friedman an""Oasis of Insights""

She shares amazing ideas and thoughts on how managers cannot lead by using the ways they were lead, how coaching is key vs bossing because the future is about collaboration and not competition and Gen Z will spit your command into your face. 

We speak  how management/bosses make all the difference since 80 percent of people quit bosses not companies,  and your boss determines your mental well being.

And Heather notes Seth Godin's quote that the purpose of the hive is not to make honey but honey is a by-product of a well functioning hive when she speaks about culture.

If you are an employee, employer, teacher or just alive you will find this conversation useful and uplifting.

Here are links to Spotify and Apple but available wherever you listen:

Spotify:",https://lnkd.in/gKnedFJV,https://lnkd.in/g2jKxTMW,,,,,,,,,67,4w
https://www.linkedin.com/posts/bethencourt_joyful-ventures-accelerating-the-future-activity-7079580155001651201-PP0E?trk=posts_directory,https://www.linkedin.com/posts/bethencourt_joyful-ventures-accelerating-the-future-activity-7079580155001651201-PP0E?trk=posts_directory,Ryan Bethencourt,"Huge congratulations to Jenny, Milo and Blaine on their launch of their future of food fund, onwards 🌱 🌎 🚀",Joyful Ventures,Jennifer Stojkovic,Milo Runkle,Blaine Vess,Björn Öste,"Sandhya Sriram, PhD",Ryan Bethencourt,Arturo Elizondo,Vevolution,https://lnkd.in/db5wzRZD,10,4w
https://www.linkedin.com/posts/rick-weinberg-0b227a22_torontos-gaming-culture-where-virtual-meets-activity-7079511589388746752-gqyv?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_torontos-gaming-culture-where-virtual-meets-activity-7079511589388746752-gqyv?trk=posts_directory,Rick Weinberg,"Toronto, a vibrant and diverse city in Canada, is renowned for its rich cultural tapestry, thriving arts scene, and bustling sports culture. However, beyond its well-known attractions, it also boasts a flourishing gaming culture that seamlessly blends virtual and real-world experiences.",#culture,#esports,#gaming,#GamingTournaments,#OnlineGaming,#socialphenomenon,,,,,2,4w
https://www.linkedin.com/posts/rishadtobaccowala_junk-websites-filled-with-ai-generated-text-activity-7079147987804819456--V0-?trk=posts_directory,https://www.linkedin.com/posts/rishadtobaccowala_junk-websites-filled-with-ai-generated-text-activity-7079147987804819456--V0-?trk=posts_directory,Rishad Tobaccowala,"“ People are using AI chatbots to fill junk websites with AI-generated text that attracts paying advertisers, according to a new report from the media research organization NewsGuard that was shared exclusively with MIT Technology Review. 

Over 140 major brands are paying for ads that end up on unreliable AI-written sites, likely without their knowledge. Ninety percent of the ads from major brands found on these AI-generated news sites were served by Google, though the company’s own policies prohibit sites from placing Google-served ads on pages that include “spammy automatically generated content.” The practice threatens to hasten the arrival of a glitchy, spammy internet that is overrun by AI-generated content, as well as wasting massive amounts of ad money.

Some of these new sites are more sophisticated and convincing than others, with AI-generated photos and bios of fake authors. And the problem is growing rapidly. NewsGuard, which evaluates the quality of websites across the internet, says it’s discovering around 25 new AI-generated sites each week. It’s found 217 of them in 13 languages since it started tracking the phenomenon in April.  “",https://www.linkedin.com/pulse/why-does-keep-happening-i-know-you-below-dr-augustine-fou,Samar Sengupta,Ushamrita Choudhury,M V S Murthy ( MVS ),Sudhamrita Choudhury-Sengupta,Rishad Tobaccowala,,,,,198,4w
https://www.linkedin.com/posts/robert-klinger_how-to-protect-your-pets-from-the-10-most-activity-7079065993003610112-4vHr?trk=posts_directory,https://www.linkedin.com/posts/robert-klinger_how-to-protect-your-pets-from-the-10-most-activity-7079065993003610112-4vHr?trk=posts_directory,"Robert Klinger, LUTCF, CPIA","From high temperatures to disease-carrying pests, veterinarians share how best to protect your four-legged friends this summer.",#pets,#pet,#summersafety,#animals,#petfsafety,#safetytips,#dogs,#cats,#rabbits,#birds,,4w
https://www.linkedin.com/posts/rayrowens_customer-expectations-are-higher-than-ever-activity-7079896318239801344-Blzb?trk=posts_directory,https://www.linkedin.com/posts/rayrowens_customer-expectations-are-higher-than-ever-activity-7079896318239801344-Blzb?trk=posts_directory,Ray Owens,"Customer expectations are higher than ever. When it comes to ecommerce shipping, customers want fast, convenient delivery options without breaking the bank. So, how can businesses live up to these demands?  
 
Introduce: Hybrid Shipping Solutions 👏 
 
- Utilize multiple carriers  
- Opt for cost-effective regional carriers  
- Implement smart routing algorithms  
 
End result: Faster deliveries, lower costs, and a satisfied customer base. 
 
Your thoughts? How have you optimized your shipping strategy to meet customer demands? Share your insights below! 📦✈️🌐",,,,,,,,,,,3,3w
https://www.linkedin.com/posts/robert-klinger_nationalinsuranceawarenessday-insurancepolicy-activity-7079790757900931073-Rf03?trk=posts_directory,https://www.linkedin.com/posts/robert-klinger_nationalinsuranceawarenessday-insurancepolicy-activity-7079790757900931073-Rf03?trk=posts_directory,"Robert Klinger, LUTCF, CPIA","Today is National Insurance Awareness Day! This day was created as a reminder to renew your insurance policies! Contact Klinger Insurance Group if you have any questions about your policy, need to renew, or make any updates!",#NationalInsuranceAwarenessDay,#insurancepolicy,#insurancereview,#homeinsurance,#rentersinsurance,#businessinsurance,#autoinsurance,#lifeinsurance,#insurance,#klingerinsurance,1,3w
https://www.linkedin.com/posts/rayrowens_earnings-recap-what-you-missed-from-joann-activity-7080319290574344192-adII?trk=posts_directory,https://www.linkedin.com/posts/rayrowens_earnings-recap-what-you-missed-from-joann-activity-7080319290574344192-adII?trk=posts_directory,Ray Owens,"💥 The Secret to Ecommerce Success? Adapt or Die! 💥 
 
Top online retailers just posted their earnings, and there's a clear message for those in the ecommerce game: 
 
✨ Adaptability and innovation make all the difference between success and failure. 
 
Joann, Designer Brands, and other leading players thrived by adjusting to the ever-evolving digital landscape.  
 
For instance, they shifted their focus to personalized customer experiences and seamless user interfaces. 
 
🌟 The takeaway? Being agile in ecommerce is non-negotiable. 
 
Curious about the full earnings reports? Dive in here:",https://lnkd.in/g_UPqApV,,,,,,,,,,1,3w
https://www.linkedin.com/posts/rick-weinberg-0b227a22_the-key-qualities-of-a-best-selling-cbd-product-activity-7079511753713188864-PGpT?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_the-key-qualities-of-a-best-selling-cbd-product-activity-7079511753713188864-PGpT?trk=posts_directory,Rick Weinberg,"CBD (cannabidiol) has surged in popularity over the past few years, and for good reason. This compound, derived from the hemp plant, offers a multitude of health benefits and has the potential to alleviate a variety of ailments. As consumers become increasingly knowledgeable and discerning about its products, understanding the essential qualities defining a best-selling product is crucial.",#accuratelabeling,#bioaccumulator,#BroadSpectrum,#cannabinoids,#CBD,#chemicals,#CO2,#hempplant,#labtesting,#THC,2,4w
https://www.linkedin.com/posts/rick-weinberg-0b227a22_expanding-horizons-how-media-outlets-are-activity-7079149322306555904-hYFE?trk=posts_directory,https://www.linkedin.com/posts/rick-weinberg-0b227a22_expanding-horizons-how-media-outlets-are-activity-7079149322306555904-hYFE?trk=posts_directory,Rick Weinberg,"The media landscape is in the midst of a digital revolution as technology reshapes the way information is accessed and consumed. Traditional media outlets are facing the disruptive force of the internet.

The rise of the internet has challenged the dominance of newspapers, magazines, and television networks, offering alternative sources of information to audiences.",#artificialintelligence,#assets,#cryptocurrency,#digitalage,#digitalcurrency,#media,#onlinecasino,#onlinestreaming,#SocialMedia,,1,4w
https://www.linkedin.com/posts/rogersilveraceo_6-months-into-2023-and-im-so-grateful-for-activity-7079817444638253057-HO-n?trk=posts_directory,https://www.linkedin.com/posts/rogersilveraceo_6-months-into-2023-and-im-so-grateful-for-activity-7079817444638253057-HO-n?trk=posts_directory,"Roger A. Silvera,  LUTCF® FSCP ® CLTC ®","6 months into 2023 and I’m so grateful for what I’ve been able to build. 

Numerous families assisted in their financial journey 

Business owners with core issues like reducing taxes, protecting their retirement savings and knowing the work we do is making a difference.

I’m beyond grateful that I can make a difference in someone’s life, daily. 

I’m honored to be a change maker, in my community through initiatives like the Minority Business Accelerator Program - this is the stuff that gets me going! 

Praying for next 6 months to be a powerful experience and to be able to change many lives.

Living my best life!",,,,,,,,,,,4,3w
https://www.linkedin.com/posts/rayrowens_ecommerce-freeshipping-strategy-activity-7079594299054559234-XQfy?trk=posts_directory,https://www.linkedin.com/posts/rayrowens_ecommerce-freeshipping-strategy-activity-7079594299054559234-XQfy?trk=posts_directory,Ray Owens,"Is FREE SHIPPING still the golden ticket to eCommerce success? 📦💰 
 
Here's the reality: 
- It increases conversions 
- Boosts average order value 
- Enhances consumer perceptions 
 
But can your business afford it? 🤔 
 
Let's dive deeper: 
1. Find the balance: weigh customer expectations vs. your profit margins. 
2. Offer free shipping after a threshold is met: incentivize larger purchases. 
3. Optimize your packaging and supply chain to reduce shipping costs. 
 
Conclusion: Tailor your free shipping strategy to work for both you and your customers. It's a win-win! 
 
Do you offer free shipping? How has it impacted your business? Drop your thoughts below! 👇",#ecommerce,#freeshipping,#strategy,,,,,,,,,4w
https://www.linkedin.com/posts/rogersilveraceo_term-life-insurance-protection-for-a-period-activity-7079801039914168321-qKUp?trk=posts_directory,https://www.linkedin.com/posts/rogersilveraceo_term-life-insurance-protection-for-a-period-activity-7079801039914168321-qKUp?trk=posts_directory,"Roger A. Silvera,  LUTCF® FSCP ® CLTC ®","Want to give your loved ones some much needed financial security? Take a look at our term life insurance rates and see how easy it can be to protect their lifestyle and future. If you have any questions or need a personal quote, I’m here to help.",,,,,,,,,,,1,3w
https://www.linkedin.com/posts/rayrowens_5-tips-to-effectively-ship-large-products-activity-7079290810940178432-iqYK?trk=posts_directory,https://www.linkedin.com/posts/rayrowens_5-tips-to-effectively-ship-large-products-activity-7079290810940178432-iqYK?trk=posts_directory,Ray Owens,"Stop struggling with large shipments! 📦 
 
If you're facing challenges in shipping large products, you're not alone. It's a common issue for many businesses, but these 5 tips can make a world of difference. 
 
1. Choose the right packaging 
2. Opt for suitable shipping carriers 
3. Consider dimensional weight pricing 
4. Add insurance for valuable items 
5. Keep customers informed about delivery status 
 
Mastering the art of shipping large products is essential for your business to thrive in the competitive eCommerce world. 
 
Check out this article for a deeper dive into these tips:",https://lnkd.in/d-B6SFeb,https://lnkd.in/d-B6SFeb,,,,,,,,,,4w
https://www.linkedin.com/posts/radamsmith_chatbot-gpt-internet-activity-7079414526781050881-e8DV?trk=posts_directory,https://www.linkedin.com/posts/radamsmith_chatbot-gpt-internet-activity-7079414526781050881-e8DV?trk=posts_directory,R. Adam Smith,":

“Apparently, generative A.I. isn’t just hot air.“

ChatGPT has been used by more than half of U.S. internet users, while four out of 10 people surveyed say they now use OpenAI’s chatbot, or search chatbots offered by Google and Microsoft, several times a week. (BOA survey)",Fortune,#chatbot,#gpt,#internet,OpenAI,#technologyinnovation,,,,,8,4w
https://www.linkedin.com/posts/rayrowens_consumers-send-a-bullish-signal-in-june-activity-7079289226164412416-lTcG?trk=posts_directory,https://www.linkedin.com/posts/rayrowens_consumers-send-a-bullish-signal-in-june-activity-7079289226164412416-lTcG?trk=posts_directory,Ray Owens,"Looking for a golden opportunity? 🌟 
 
Consumers are sending a bullish signal in June, and two e-commerce growth stocks are standing out. With improving consumer sentiment, it's time to consider these untapped gems. 
 
""Improving consumer sentiment is a bullish signal for these e-commerce growth stocks.""  
 
These two magnificent growth stocks could be the key to long-term success. Invest now and hold onto them forever.  
 
Curious to know which companies made the cut?  
 
Find out here:",https://lnkd.in/dh5nNf8t,https://lnkd.in/dh5nNf8t,,,,,,,,,,4w
https://www.linkedin.com/posts/radamsmith_philanthropy-is-the-last-great-frontier-of-activity-7079056115535081472--u4M?trk=posts_directory,https://www.linkedin.com/posts/radamsmith_philanthropy-is-the-last-great-frontier-of-activity-7079056115535081472--u4M?trk=posts_directory,R. Adam Smith,"Philanthropy is the last great frontier of family office evolution.

Thank you",Ronald Diamond,Google,Forbes,#familyoffice,#tiger21,#philanthropy,,,,,10,4w
https://www.linkedin.com/posts/rollisfontenot_listen-up-folks-weve-had-a-blockbuster-activity-7079914300823277568-bpZ5?trk=posts_directory,https://www.linkedin.com/posts/rollisfontenot_listen-up-folks-weve-had-a-blockbuster-activity-7079914300823277568-bpZ5?trk=posts_directory,Rollis Fontenot III,"So happy to put another great shoot in the books! 📢

We've had a blockbuster day at",Oncology Consultants,"Desiree Johnson, MHA, SHRM-SCP",Marissa Hooker,,,,,,,,29,3w
https://www.linkedin.com/posts/rayrowens_google-news-activity-7079171560359542784-ozOZ?trk=posts_directory,https://www.linkedin.com/posts/rayrowens_google-news-activity-7079171560359542784-ozOZ?trk=posts_directory,Ray Owens,"IoT is revolutionizing logistics. 🚀 
 
It's no secret that the Internet of Things (IoT) is playing a major role in reshaping industries, but what does this mean for logistics? A recent report by KaleidoScot predicts significant growth in the IoT in Logistics Market by 2023.  
 
I couldn't agree more. 👍 
 
IoT implementation in logistics is a game changer. With real-time tracking, increased efficiency, and improved decision-making, businesses are reaping the benefits.  
 
The report highlights top brands like Kaa IoT Technologies, Novire Technologies, and Oracle Corporation, showing that the industry is ready to embrace this tech revolution.  
 
Don't get left behind. 🏃 
 
Check out the full report here: 
[",https://lnkd.in/gCnymDrH,https://lnkd.in/g-hrrGXS,,,,,,,,,,4w
https://www.linkedin.com/posts/rogersilveraceo_the-value-of-money-in-everyday-life-is-a-activity-7079038728333090816-Nk6w?trk=posts_directory,https://www.linkedin.com/posts/rogersilveraceo_the-value-of-money-in-everyday-life-is-a-activity-7079038728333090816-Nk6w?trk=posts_directory,"Roger A. Silvera,  LUTCF® FSCP ® CLTC ®",The value of money in everyday life is a lesson that all children should be taught. This article has some great ideas and tips for teaching your kids about money and how inflation has such a big impact.,https://nyl.co/44hCaUX,,,,,,,,,,,4w
https://www.linkedin.com/posts/rogersilveraceo_if-you-are-part-of-the-54-uninsured-latinos-activity-7079496189485707264-SwSu?trk=posts_directory,https://www.linkedin.com/posts/rogersilveraceo_if-you-are-part-of-the-54-uninsured-latinos-activity-7079496189485707264-SwSu?trk=posts_directory,"Roger A. Silvera,  LUTCF® FSCP ® CLTC ®","If you are part of the 54% uninsured Latinos who need an agent, I am here for you. I help people protect what matters most to them every day. Give me a call today and let me help you, too.",,,,,,,,,,,,4w
